hardware_label,K,tau_iter_ms,method,overhead_mean_ms,overhead_std_ms,overhead_p99_ms,lt_0p5ms,r2_linear
a6000_single,4,30.0,whittle_compute_indices,0.00341,0.00074,0.00373,Yes,N/A
a6000_single,4,30.0,whittle_rank_adapters,0.00416,0.00098,0.00617,Yes,0.9998
a6000_single,4,30.0,threshold_sort,0.00056,0.00030,0.00062,Yes,0.9965
a6000_single,8,30.0,whittle_compute_indices,0.00605,0.00124,0.01131,Yes,N/A
a6000_single,8,30.0,whittle_rank_adapters,0.00677,0.00076,0.01131,Yes,0.9998
a6000_single,8,30.0,threshold_sort,0.00079,0.00050,0.00087,Yes,0.9965
a6000_single,16,30.0,whittle_compute_indices,0.01146,0.00129,0.01674,Yes,N/A
a6000_single,16,30.0,whittle_rank_adapters,0.01291,0.00110,0.01939,Yes,0.9998
a6000_single,16,30.0,threshold_sort,0.00123,0.00023,0.00131,Yes,0.9965
a6000_single,32,30.0,whittle_compute_indices,0.02263,0.00136,0.02972,Yes,N/A
a6000_single,32,30.0,whittle_rank_adapters,0.02519,0.00136,0.03209,Yes,0.9998
a6000_single,32,30.0,threshold_sort,0.00224,0.00029,0.00232,Yes,0.9965
a6000_single,64,30.0,whittle_compute_indices,0.04573,0.00205,0.05462,Yes,N/A
a6000_single,64,30.0,whittle_rank_adapters,0.05071,0.00198,0.05957,Yes,0.9998
a6000_single,64,30.0,threshold_sort,0.00444,0.00053,0.00479,Yes,0.9965
a6000_single,128,30.0,whittle_compute_indices,0.09331,0.00282,0.10307,Yes,N/A
a6000_single,128,30.0,whittle_rank_adapters,0.10301,0.00288,0.11276,Yes,0.9998
a6000_single,128,30.0,threshold_sort,0.00960,0.00097,0.01492,Yes,0.9965
